,User,Tweet
372,mashish76,"Installed Digital Ruppe wallet, seamless in loading the money and using the App.
Wonderful experience.
Waiting for using it in spending..
#ReserveBankofIndia 
#DigitalRupee 
#IDFCFIRSTBank 
#DigitalIndia"
373,_DigitalPolice,"RT @_OfficialECI: Only fools would convert their cash into #CBDC or any other govt controlled #cryptocurrency on a large scale. #Privacy, #…"
374,_DigitalPolice,RT @_OfficialECI: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
375,_DigitalPolice,RT @_PTLB: India Is A Sitting Duck In #CyberSecurity Area Warned Visionary @IMPraveenDalal In 2014 https://t.co/sR8q6eq7fc. #DigitalIndia #…
376,_DigitalPolice,RT @_OfficialECI: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a centr…
377,_DigitalPolice,"RT @CongressOrBJP: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the #Jumlabaazi of g…"
378,_DigitalPolice,RT @CongressOrBJP: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a cent…
379,_DigitalPolice,"RT @WhatsAppLaws: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, yo…"
380,_DigitalPolice,RT @CongressOrBJP: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
381,_DigitalPolice,RT @AadhaarLies: International cabal and #GenocidalManiacs have focused their attention upon India now. But after the scams like #Demonetis…
382,_DigitalPolice,"RT @AadhaarLies: One Earth, One Family, One Future= #NewWorldOrder And The #GreatReset. You will own nothing still you would be happy sheep…"
383,_DigitalPolice,"RT @AadhaarLies: We must expose evil plans to attack India using #Haarp, #Satellites, #WeatherModification, #Chemtrails, etc. Indians must…"
384,_DigitalPolice,RT @AadhaarLies: #TechnoLegal tools must be used by a global #FightingForce to defeat international cabal that is pushing hoaxes like #Covi…
385,_DigitalPolice,"RT @AadhaarLies: #G20Cabal intends to push centralisation, surveillance, @_Orwellian and a totalitarian state. Their digital ID system and…"
386,_DigitalPolice,"RT @AadhaarLies: #DepopulationAgenda using hoaxes like #Covid19, #GlobalWarming, etc would be intensified soon as people have caught these…"
387,_DigitalPolice,RT @AadhaarLies: People have woken up and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming a…
388,_DigitalPolice,"RT @AadhaarLies: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. Now…"
389,_DigitalPolice,"RT @AadhaarLies: #G20India: International cabal controlling Indian policies and economy must be dismantled urgently. Otherwise,  be ready f…"
390,_DigitalPolice,RT @_FairElection: Both #Covid19 and #GlobalWarming are #DepopulationAgenda and they are achieving this nefarious objective by making peopl…
391,_DigitalPolice,RT @_FairElection: People have woken up and they are now questioning the fake science and fake scientists of UN regarding #GlobalWarming an…
392,_DigitalPolice,RT @_FairElection: #GlobalWarming gang induced climate atrocities would ruin Indian farmers. We have already warned them on many occasions…
393,DevarshiJoshi17,"#UMANGApp is a delight for readers! Under the #IndianCulture service on UMANG App, citizens can read over 12,000 rare books, 80,000 e-books &amp; many more archival documents. To download UMANG, give a missed call to 97183-97183. #DigitalIndia
https://t.co/zQtDKAgLee

via MyNt https://t.co/UwWummmShW"
394,_DigitalPolice,"RT @_CEPHRC: If you have installed @_Orwellian and #Privacy violating #UMANGApp and #DigitalLocker, uninstall them urgently. Using the #Jum…"
395,_DigitalPolice,"RT @_CEPHRC: Your #HealthRecords and #DNA can be used against you to target for all forms of evil actions, including #DepopulationAgenda. #…"
396,_DigitalPolice,RT @_CEPHRC: Never link and store your #health records with any govt agency or department in India or globally. You would have nil #Privacy…
397,_DigitalPolice,"RT @_CEPHRC: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, you hav…"
398,_DigitalPolice,RT @_CEPHRC: #Covid19 hoax #Genocide stopped in #China only because people have started protesting. Till you protest the @_Orwellian and to…
399,INDIAdrive21,"INDIA DRIVE #EDUCATION SEARCH 
#Search for #courses, #colleges, #scholarship and #online #certificates #Universities in #India

https://t.co/DRRLrTFTK2

 #Chandigarh #DigitalIndia

https://t.co/ToEj1C8yJx"
400,Lakshmi92239789,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
401,NishaRathour7,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
402,VivoAng,RT @_DigitalIndia: The digital court is an initiative to make court records available to the judge in digitized form to enable the transiti…
403,PriyaThakur56,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
404,VivoAng,"RT @_DigitalIndia: Share your valuable feedback on the Draft Digital Personal #DataProtectionBill, 2022 on various aspects of digital perso…"
405,PalDheerajpal,RT @GoI_MeitY: J&amp;K joins hands with Haryana for Replication of Good Governance practices of #Haryana. #JammuAndKashmir #DigitalIndia https:…
406,SharifNadaf12,"RT @CSCegov_: Study Symposium at #Goa...

Get 25% extra weightage by collecting your sourced policies renewal...

The Star VLE Achievers Ca…"
407,SGuptaGNW,RT @rsprasad: India's innovation of #Aadhaar based system of service delivery gets rewarded at the Global Governments Summit in Dubai. #Dig…
408,INDIAdrive21,"INDIA DRIVE #EDUCATION SEARCH 
#Search for #courses, #colleges, #scholarship and #online #certificates #Universities in #India

https://t.co/DRRLrTFTK2

 #Bihar #DigitalIndia 

https://t.co/ToEj1C8yJx"
409,SharifNadaf12,"RT @CSCegov_: Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia…"
410,ICTO_Rajkot,"RT @_DigitalIndia: Share your valuable feedback on the Draft Digital Personal Data Protection Bill, 2022 on various aspects of digital pers…"
411,drmkota,"RT @BhopalDivision: #UTSMobileApp Why wait in line, when you can go online! 

A hassle free way to book unreserved tickets on your mobile p…"
412,real_Kajalsingh,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
413,Radhamm8183,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
414,ShashiK04711006,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
415,ETtech,Draft #DigitalIndia Bill to be available for public consultation by month-end: @Rajeev_GoI https://t.co/tkinEMTeuE
416,brand_ankit01,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
417,Najibul_CSC,"RT @CSCegov_: Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia…"
418,pramodgaur79,"RT @BSNL_RJ: Enjoy full #Entertainment: #Games &amp; #Music 
Avail 2GB/Day data + U/L local/STD calls + 100 SMS/Day.  
#RechargeNow with #BSNL…"
419,thava1862,RT @AyushmanNHA: Link and store your #health records with ABHA (#AyushmanBharatHealthAccount ) from your @digilocker_ind app. You can acces…
420,INDIAdrive21,"INDIA DRIVE #EDUCATION SEARCH 
#Search for #courses, #colleges, #scholarship and #online #certificates #Universities in #India

https://t.co/DRRLrTY2Ya

 #Assam #DigitalIndia 
https://t.co/ToEj1BRvHx"
421,wealthybytes_,"RT @_DigitalIndia: 📽️ Under an MoU signed between @CSCegov_ and October Cinemas, #CSC plans to open 10000 cinema halls by end of 2024 which…"
422,Only7ya,RT @GoI_MeitY: .@GoI_MeitY is hosting a painting competition for school students in Grades 6 - 12. Participate now! Visit https://t.co/dpJc…
423,kd_tamar,RT @GoI_MeitY: #UMANGbhare5saal | Tarun from Delhi describes how easily he could check live train status and PNR status with the use of @Um…
424,sant_invisible,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
425,KamanaRaviteja,"RT @PMGDISHA: PMGDISHA Student Registration...

Dear VLEs, Please make sure you follow all the instructions during the Student Registration…"
426,KamanaRaviteja,"RT @PMGDISHA: PMGDISHA Examination...

Dear VLEs, Please make sure you follow all the instructions during the Examination process...

#CSC…"
427,sharukh2580,"RT @CSCegov_: Study Symposium at #Goa...

Get 25% extra weightage by collecting your sourced policies renewal...

The Star VLE Achievers Ca…"
428,sharukh2580,RT @_DigitalIndia: .@GoI_MeitY is hosting a painting competition for school students in Grades 6 - 12. Participate now! Visit https://t.co/…
429,dhanu57dhanu,"RT @CSCegov_: HDFC and #CSC organized a Workshop in Vijayawada District, #AndhraPradesh in the presence of Ms. Smita Bhagat, Country Head,…"
430,sharukh2580,"RT @CSCegov_: Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia…"
431,HarshTr46771738,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
432,_OfficialECI,"RT @_FairElection: We must expose evil plans to attack India using #Haarp, #Satellites, #WeatherModification, #Chemtrails, etc. Indians mus…"
433,_OfficialECI,RT @_FairElection: We need to create alternative institutions to get #Justice. @ODRIndia Portal of Visionary @IMPraveenDalal is the new #Te…
434,_OfficialECI,RT @_FairElection: #Depopulation By #Plandemic: New #BioWarfare agents masquerading as virus are ready to be deployed globally after the ma…
435,_OfficialECI,RT @_PTLB: India Is A Sitting Duck In #CyberSecurity Area Warned Visionary @IMPraveenDalal In 2014 https://t.co/sR8q6eq7fc. #DigitalIndia #…
436,CscGpBanni,RT @GoI_MeitY: Citizen-centric services like #Aadhaar enrollment &amp; updation facilities are being provided in your nearby #PostOffice. Visit…
437,rishi39595768,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
438,shabana70033968,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
439,_OfficialECI,RT @_FairElection: #GlobalWarming gang induced climate atrocities would ruin Indian farmers. We have already warned them on many occasions…
440,_OfficialECI,"RT @WhatsAppLaws: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, yo…"
441,_OfficialECI,RT @AadhaarLies: International cabal and #GenocidalManiacs have focused their attention upon India now. But after the scams like #Demonetis…
442,_OfficialECI,"RT @AadhaarLies: One Earth, One Family, One Future= #NewWorldOrder And The #GreatReset. You will own nothing still you would be happy sheep…"
443,_OfficialECI,"RT @AadhaarLies: We must expose evil plans to attack India using #Haarp, #Satellites, #WeatherModification, #Chemtrails, etc. Indians must…"
444,_OfficialECI,"RT @AadhaarLies: #DepopulationAgenda using hoaxes like #Covid19, #GlobalWarming, etc would be intensified soon as people have caught these…"
445,_OfficialECI,"RT @AadhaarLies: #G20Cabal intends to push centralisation, surveillance, @_Orwellian and a totalitarian state. Their digital ID system and…"
446,_OfficialECI,"RT @AadhaarLies: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. Now…"
447,_OfficialECI,RT @_CEPHRC: Never link and store your #health records with any govt agency or department in India or globally. You would have nil #Privacy…
448,_OfficialECI,RT @_CEPHRC: #Covid19 hoax #Genocide stopped in #China only because people have started protesting. Till you protest the @_Orwellian and to…
449,_OfficialECI,"RT @_CEPHRC: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, you hav…"
450,_OfficialECI,"RT @AadhaarLies: #G20India: International cabal controlling Indian policies and economy must be dismantled urgently. Otherwise,  be ready f…"
451,KamanaRaviteja,"RT @CSCegov_: Congratulations!

Axis Bank is launching its loan products on the Digital Seva Portal for all #CSC VLEs.

Visit the Digital S…"
452,_OfficialECI,RT @CongressOrBJP: #DepopulationAgenda: International cabal is forcing its nefarious plans in India using Modi govt. From #Demonetisation t…
453,_OfficialECI,"RT @_FairElection: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the #Jumlabaazi of g…"
454,_OfficialECI,"RT @CongressOrBJP: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the #Jumlabaazi of g…"
455,_OfficialECI,RT @WhatsAppLaws: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a centr…
456,_OfficialECI,RT @_FairElection: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a cent…
457,_OfficialECI,RT @CongressOrBJP: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
458,_OfficialECI,RT @AadhaarLies: #TechnoLegal tools must be used by a global #FightingForce to defeat international cabal that is pushing hoaxes like #Covi…
459,rishi01592722,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
460,_OfficialECI,"RT @_CEPHRC: If you have installed @_Orwellian and #Privacy violating #UMANGApp and #DigitalLocker, uninstall them urgently. Using the #Jum…"
461,KamanaRaviteja,"RT @CSCegov_: Mahindra Tractors Lead Generation through CSC e-Agri Portal...

Now, VLEs can earn good money on Mahindra's Tractors and Impl…"
462,_OfficialECI,"RT @_CEPHRC: Your #HealthRecords and #DNA can be used against you to target for all forms of evil actions, including #DepopulationAgenda. #…"
463,_OfficialECI,RT @AadhaarLies: People have woken up and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming a…
464,_OfficialECI,RT @_FairElection: Both #Covid19 and #GlobalWarming are #DepopulationAgenda and they are achieving this nefarious objective by making peopl…
465,_OfficialECI,RT @_FairElection: People have woken up and they are now questioning the fake science and fake scientists of UN regarding #GlobalWarming an…
466,_OfficialECI,"RT @_PrivacyRight: If you have installed @_Orwellian and #Privacy violating #UMANGApp and #DigitalLocker, uninstall them urgently. Using th…"
467,KarnikaRathore4,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
468,r_ranjan4,"RT @stpiindia: AIC STPI Bengaluru Open Challenge Program 3.0

Selected #startups will get complete incubation and mentoring support along w…"
469,maneesh999760,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
470,Dhanalaksmi0510,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
471,Ram29672750,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
472,AparichitKavi,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
473,_financiallaws,RT @_FairElection: We need to create alternative institutions to get #Justice. @ODRIndia Portal of Visionary @IMPraveenDalal is the new #Te…
474,SubhraOfficials,"RT @CSCegov_: Easy Steps to activate CSC HDFC SmartHub Account!

CSC HDFC bank Open SmartHub account for your customers.

All VLEs can earn…"
475,_financiallaws,RT @CongressOrBJP: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a cent…
476,_financiallaws,"RT @_OfficialECI: #Covid19 Hoax: #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. Now #…"
477,_financiallaws,"RT @AadhaarLies: One Earth, One Family, One Future= #NewWorldOrder And The #GreatReset. You will own nothing still you would be happy sheep…"
478,_financiallaws,"RT @_OfficialECI: #Demonetisation, GST, property ceiling, lockdown for #Covid19 hoax, #DeathShots, #Aadhaar, @_Orwellian state, #UMANGApp,…"
479,_financiallaws,"RT @CongressOrBJP: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the #Jumlabaazi of g…"
480,_financiallaws,RT @_OfficialECI: People have awakened and they are openly questioning the #fakescience and #fakescientists of UN regarding #GlobalWarming…
481,_financiallaws,"RT @_CEPHRC: If you have installed @_Orwellian and #Privacy violating #UMANGApp and #DigitalLocker, uninstall them urgently. Using the #Jum…"
482,SubhraOfficials,"RT @CSCegov_: Travel Services through #CSC...

Now Book Train, Flight, Bus, and even Hotels through Digital Seva Portal and Earn Great Comm…"
483,_financiallaws,"RT @AadhaarLies: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. Now…"
484,Nileshchauhan00,"Only CSC can do this..  JEEVAN PRAMAAN CERTIFICATE (Digital Life Certificate) at Doorstep.. #odisha

#CSC #DigitalIndia #RuralEmpowerment #jeevanpramaan #digitallifecertificate 
#csceGov 
#cscodisha https://t.co/f7Is7rG30U"
485,_financiallaws,"RT @AadhaarLies: #G20Cabal intends to push centralisation, surveillance, @_Orwellian and a totalitarian state. Their digital ID system and…"
486,_financiallaws,"RT @AadhaarLies: #G20India: International cabal controlling Indian policies and economy must be dismantled urgently. Otherwise,  be ready f…"
487,_financiallaws,"RT @AadhaarLies: We must expose evil plans to attack India using #Haarp, #Satellites, #WeatherModification, #Chemtrails, etc. Indians must…"
488,_financiallaws,RT @_PTLB: #CyberSecurity Challenges For Modi Govt As Suggested By Visionary @IMPraveenDalal In 2014 https://t.co/I56I8RyGVe. But Modi Govt…
489,_financiallaws,"RT @_OfficialECI: Only fools would convert their cash into #CBDC or any other govt controlled #cryptocurrency on a large scale. #Privacy, #…"
490,AnithaA90861487,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
491,_financiallaws,"RT @WhatsAppLaws: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, yo…"
492,_financiallaws,"RT @CongressOrBJP: Only fools would convert their cash into #CBDC or any other govt controlled #cryptocurrency on a large scale. #Privacy,…"
493,_financiallaws,RT @_PTLB: India Is A Sitting Duck In #CyberSecurity Area Warned Visionary @IMPraveenDalal In 2014 https://t.co/EA1VGV57HS. But Modi Govt I…
494,_financiallaws,RT @_FairElection: #Depopulation By #Plandemic: New #BioWarfare agents masquerading as virus are ready to be deployed globally after the ma…
495,_financiallaws,RT @AadhaarLies: International cabal and #GenocidalManiacs have focused their attention upon India now. But after the scams like #Demonetis…
496,_financiallaws,RT @_FairElection: People have woken up and they are now questioning the fake science and fake scientists of UN regarding #GlobalWarming an…
497,_financiallaws,RT @CongressOrBJP: Supreme Court is pretending that #Demonetisation was not evil and it did not collapse economy. But people are smart and…
498,_financiallaws,RT @_FairElection: Both #Covid19 and #GlobalWarming are #DepopulationAgenda and they are achieving this nefarious objective by making peopl…
499,_financiallaws,RT @_PTLB: India Is A Sitting Duck In #CyberSecurity Area Warned Visionary @IMPraveenDalal In 2014 https://t.co/sR8q6eq7fc. #DigitalIndia #…
500,_financiallaws,RT @_PTLB: Modi Govt Failed To Address #CyberSecurity Challenges Despite A Warning In 2014 By Visionary @IMPraveenDalal https://t.co/WwFbBx…
501,_financiallaws,"RT @_PTLB: Central Bank Digital Currency (#CBDC) of India has serious #Privacy, #CyberSecurity and #DataProtection issues https://t.co/D5vP…"
502,_financiallaws,"RT @_FairElection: We must expose evil plans to attack India using #Haarp, #Satellites, #WeatherModification, #Chemtrails, etc. Indians mus…"
503,Amit_kumar_ind,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
504,_financiallaws,RT @_FairElection: #GlobalWarming gang induced climate atrocities would ruin Indian farmers. We have already warned them on many occasions…
505,_financiallaws,"RT @_PrivacyRight: If you have installed @_Orwellian and #Privacy violating #UMANGApp and #DigitalLocker, uninstall them urgently. Using th…"
506,_financiallaws,RT @_PTLB: Offensive And Defensive #CyberSecurity In India Must Be Established Says Visionary @IMPraveenDalal https://t.co/XPRe7iRsQc. But…
507,_financiallaws,"RT @_OfficialECI: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. No…"
508,_financiallaws,RT @_OfficialECI: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a centr…
509,_financiallaws,RT @_PTLB: We need to create alternative institutions to get justice. @ODRIndia Portal of Visionary @IMPraveenDalal is the new #TempleOfJus…
510,_financiallaws,"RT @_OfficialECI: If you have installed @_Orwellian and #Privacy violating #UMANGApp, uninstall it immediately. Using the zumlabazi of govt…"
511,_financiallaws,RT @_CEPHRC: Never link and store your #health records with any govt agency or department in India or globally. You would have nil #Privacy…
512,_financiallaws,"RT @_OfficialECI: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, yo…"
513,YuvaKupwara,"RT @Nyksindia: Protect Your Identity: Don't be Quick to Click.
Don't click on any unknown emails or links, it may be a fraud.

#cybercrime…"
514,LOHITHKUMARAMR1,"RT @KiranKS: Bengaluru saw 1,48,20,000 digital payment transactions between January and October 2022, amounting to ₹3,620 crore. India's hi…"
515,_financiallaws,"RT @_CEPHRC: Your #HealthRecords and #DNA can be used against you to target for all forms of evil actions, including #DepopulationAgenda. #…"
516,BagyaLa77616502,"RT @mla_sudhakar: Interesting photos of #G20 Delegates purchasing local products using #UPI

A #digitalIndia moment indeed! https://t.co/qp…"
517,Princi_qween,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
518,Shiwang84897584,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
519,Cristal87870232,"RT @PMGDISHA: PMGDISHA Registration Drive - Today, 8th December 2022...

Empowering Citizens Towards Digital Literacy Through #PMGDISHA...…"
520,paita65846226,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
521,rdevapriyan,"Stopped using cash &amp; Internet banking's. Then you should be aware about recent restrictions implemented in UPI based app.
#GPay |#phonepe |#Paytm
#UPI| #DigitalIndia
@News18TamilNadu|@karthickselvaa
https://t.co/xryp0Yvhk2"
522,Sharita97795256,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
523,riya19124536,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
524,RSAHoldings,"RT @prosunjoyi: #VentureCapital firm Blume Ventures -that focuses on early-stage, technology-led #startups in sectors such as #edtech, #fin…"
525,payal50104390,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
526,SumitDa52798631,RT @GoI_MeitY: J&amp;K joins hands with Haryana for Replication of Good Governance practices of #Haryana. #JammuAndKashmir #DigitalIndia https:…
527,Brand_Sanjay1,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
528,Geeta51754186,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
529,santosh74364283,"RT @CSCegov_: An Awareness Session for CSC Dhwani Sevice...

Join us LIVE on the #CSC Facebook Page, on 6th December 2022(Tomorrow) at 11 A…"
530,PanchayatiRajUK,"RT @mopr_goi: #eGramSwaraj is providing real time visibility for more than 27,000 computerized villages under #DigitalIndia Land Records Mo…"
531,santosh74364283,"RT @CSCegov_: CSC Grameen eStore Year End Sale - VLE Cashback...

Shop Now On VLE App!!

Valid from 1st Dec to 31st Dec, 2022...

#CSC #Dig…"
532,santosh74364283,"RT @CSCegov_: Congratulations!

Axis Bank is launching its loan products on the Digital Seva Portal for all #CSC VLEs.

Visit the Digital S…"
533,santosh74364283,"RT @CSCegov_: Mahindra Tractors Lead Generation through CSC e-Agri Portal...

Now, VLEs can earn good money on Mahindra's Tractors and Impl…"
534,santosh74364283,"RT @CSCegov_: HDFC and #CSC organized a Workshop in Vijayawada District, #AndhraPradesh in the presence of Ms. Smita Bhagat, Country Head,…"
535,santosh74364283,"RT @CSCegov_: Study Symposium at #Goa...

Get 25% extra weightage by collecting your sourced policies renewal...

The Star VLE Achievers Ca…"
536,santosh74364283,"RT @CSCegov_: Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia…"
537,Muskan18297328,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
538,rajmish45290388,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
539,Vijeta87861188,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
540,Nidhi62391903,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
541,Abhishe71470846,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
542,Ekta66141746,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
543,k_dwarakadhish,"🇮🇳Major Challenges/Problems Facing India 2022

1. Corruption
2. Illiteracy
3. Basic Sanitation
4. Medical System
5. Poverty
6. Pollution
7. Agricultural Crisis
8. Infrastructure
9. Unemployment
10. Growing International Protectionism

#PMOIndia 
#DigitalIndia
#growingindia"
544,Santosh26230083,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
545,CSCegov_,"Haier Wedding Diamond Combo through CSC Grameen eStore...

COMBO PRICE: Rs. 66,750

SHOP NOW ON VLE APP!!

#CSC #DigitalIndia #RuralEmpowerment #CSCGrameenEStore #HaierWeddingCombo https://t.co/OduO2WQJ8O"
546,AartiPandey_,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
547,navneet105105,"RT @CSCegov_: Congratulations!

Axis Bank is launching its loan products on the Digital Seva Portal for all #CSC VLEs.

Visit the Digital S…"
548,stpirajkumar,"RT @stpiindia: AIC STPI Bengaluru Open Challenge Program 3.0

Selected #startups will get complete incubation and mentoring support along w…"
549,NileshL78257528,RT @_DigitalIndia: .@GoI_MeitY is hosting a painting competition for school students in Grades 6 - 12. Participate now! Visit https://t.co/…
550,kumarmangla,RT @GoI_MeitY: .@GoI_MeitY is hosting a painting competition for school students in Grades 6 - 12. Participate now! Visit https://t.co/dpJc…
551,bkiran_vkb,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
552,PayalAgnihotri5,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
553,_ETax,RT @_FairElection: Both #Covid19 and #GlobalWarming are #DepopulationAgenda and they are achieving this nefarious objective by making peopl…
554,_ETax,RT @_FairElection: #GlobalWarming gang induced climate atrocities would ruin Indian farmers. We have already warned them on many occasions…
555,_ETax,"RT @_OfficialECI: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, yo…"
556,_ETax,"RT @_OfficialECI: Never forget that #Demonetisation, lockdown, #DeathShots, etc collapsed Indian economy and killed millions of Indians. No…"
557,Abhijee35536680,RT @Rajeev_GoI: Next step after PM @narendramodi ji's smartphone PLI success - is making #NewIndia a significant player in IT Compute/hardw…
558,_ETax,RT @_OfficialECI: #Demonetisation was never about black money. Its sole aim was to collapse decentralised Indian economy and create a centr…
559,_ETax,"RT @WhatsAppLaws: Your #DigitalRights and #HumanRights are only as strong as you are willing to enforce them. If you surrender the same, yo…"
